                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.06064,                0.73604,                0.85632,                0.49828,                0.98424,                0.53286,                 0.5317,                 0.0574,                0.72547,                0.85697,             0.00058603,             0.00058603,             0.00058603
                    133,                0.06088,                0.73619,                0.85932,                0.47882,                0.97602,                0.52423,                0.52009,                0.07168,                0.81526,                0.82094,             0.00057778,             0.00057778,             0.00057778
                    134,                0.06009,                0.73469,                0.85906,                0.49744,                0.99454,                0.52292,                 0.5186,                0.04738,                 0.7329,                0.80787,             0.00056953,             0.00056953,             0.00056953
                    135,                0.06108,                0.73222,                0.86226,                0.49738,                0.99679,                0.52533,                0.52386,                0.06879,                0.74878,                0.86113,             0.00056128,             0.00056128,             0.00056128
                    136,                0.05984,                0.73544,                0.86214,                0.49816,                0.99807,                0.52404,                0.52399,                 0.0637,                0.73586,                 0.8325,             0.00055303,             0.00055303,             0.00055303
                    137,                0.06147,                0.73374,                0.85825,                0.49785,                      1,                 0.5436,                0.54302,                0.05177,                0.73052,                 0.7902,             0.00054478,             0.00054478,             0.00054478
                    138,                0.06005,                0.73203,                0.85914,                0.49739,                      1,                0.54278,                0.53789,                0.04828,                0.73459,                 0.7907,             0.00053652,             0.00053652,             0.00053652
                    139,                0.06009,                0.73629,                 0.8594,                0.49831,                      1,                0.53713,                0.53541,                0.05469,                0.73822,                 0.7668,             0.00052827,             0.00052827,             0.00052827
                    140,                0.07172,                0.74678,                0.87471,                 0.4973,                      1,                0.53936,                0.53546,                0.05648,                0.72323,                0.75877,             0.00052002,             0.00052002,             0.00052002
                    141,                 0.0585,                0.73318,                0.85738,                0.49298,                      1,                0.52715,                0.52369,                0.05335,                0.74699,                0.81225,             0.00051177,             0.00051177,             0.00051177
                    142,                0.05777,                0.73015,                0.85954,                0.49812,                      1,                0.52543,                0.52251,                  0.044,                0.72313,                0.84389,             0.00050352,             0.00050352,             0.00050352
                    143,                0.06243,                0.74426,                0.86366,                0.49633,                 0.9991,                0.52089,                0.51801,                 0.0531,                0.73145,                0.85675,             0.00049527,             0.00049527,             0.00049527
                    144,                0.05778,                0.73403,                0.86248,                0.49358,                      1,                0.52516,                0.52279,                 0.0489,                 0.7318,                0.83126,             0.00048701,             0.00048701,             0.00048701
                    145,                0.05593,                 0.7304,                0.85913,                0.49813,                      1,                0.52803,                0.52565,                0.04699,                0.72218,                0.81796,             0.00047876,             0.00047876,             0.00047876
